Fecha;Desempleo
1/03/2019;8.15790975
1/04/2019;7.331316936
1/05/2019;6.709853
1/06/2019;6.307874799
1/07/2019;6.003791869
1/08/2019;5.827430164
1/09/2019;5.749808722
1/10/2019;6.417700862
1/11/2019;6.326341823
1/12/2019;6.102196341
1/01/2020;6.338434078
1/02/2020;7.068077431
1/03/2020;7.766284917
1/04/2020;8.982468373
1/05/2020;13.12408411
1/06/2020;16.28004419
1/07/2020;16.37321937
1/08/2020;15.56662224
1/09/2020;16.53162979
1/10/2020;16.43002028
1/11/2020;15.12614848
1/12/2020;13.84064072
1/01/2021;13.01201238
1/02/2021;14.49064994
1/03/2021;15.27937062
1/04/2021;15.11304923
1/05/2021;12.02886867
1/06/2021;10.32372803
1/07/2021;9.391661254
1/08/2021;9.537686766
1/09/2021;9.972282053
1/10/2021;9.597027917
1/11/2021;9.092806351
1/12/2021;7.833335632
1/01/2022;8.618457439
1/02/2022;8.899918013
1/03/2022;9.411709532
1/04/2022;8.263860833
1/05/2022;7.211400842
1/06/2022;6.778639838
1/07/2022;6.830924518
1/08/2022;7.322450295
1/09/2022;7.673362131
1/10/2022;7.165581659
1/11/2022;7.619698601
1/12/2022;7.112543424
1/01/2023;8.010582343
1/02/2023;7.329430038
1/03/2023;7.484158178
1/04/2023;7.072392938
1/05/2023;6.778779245
1/06/2023;6.55152177
1/07/2023;6.264337537
1/08/2023;6.637680466
1/09/2023;6.731352636
1/10/2023;6.554115494
1/11/2023;6.562968696
1/12/2023;6.38618441
1/01/2024;7.2
1/02/2024;7.294363891
1/03/2024;7.705906019
1/04/2024;7.687668285
1/05/2024;7.21516917
1/06/2024;6.635254924
1/07/2024;5.95984109
1/08/2024;6.065840034
1/09/2024;5.934038682
1/10/2024;5.747447266
1/11/2024;5.667910327
1/12/2024;5.527225884
1/01/2025;6.153996767
1/02/2025;6.296674218
1/03/2025;6.555158192
1/04/2025;5.910993262
1/05/2025;5.588404102
1/06/2025;6.372253181
1/07/2025;6.0585713
1/08/2025;5.987303174
1/09/2025;5.749575159
1/10/2025;5.936935316
1/11/2025;5.925679179
1/12/2025;4.98799671
1/01/2026;6.334894185
1/02/2026;6.369943053
1/03/2026;6.843205803
