Fecha;elec;choc;beer
1/01/2009 00:00;110.6164461;82.19891072;125.0887628
1/02/2009 00:00;101.9572996;63.66240885;102.978732
1/03/2009 00:00;112.359782;77.80075077;99.34208916
1/04/2009 00:00;107.5967532;94.92222562;95.51928525
1/05/2009 00:00;110.1439328;113.8582216;106.2546131
1/06/2009 00:00;104.503425;95.26787369;105.0404474
1/07/2009 00:00;105.4067652;127.2655811;110.1247832
1/08/2009 00:00;108.6166723;116.1049767;109.6426343
1/09/2009 00:00;107.900185;124.426892;115.7678718
1/10/2009 00:00;110.6436431;125.5671651;125.2600672
1/11/2009 00:00;110.3088128;112.0126576;132.3165899
1/12/2009 00:00;115.4262837;73.20746308;135.4163241
1/01/2010 00:00;115.8829125;70.22618753;119.7302988
1/02/2010 00:00;107.7897484;115.4645738;94.37498135
1/03/2010 00:00;120.49456;94.52433351;120.7724136
1/04/2010 00:00;115.3286957;94.50471471;105.0773337
1/05/2010 00:00;117.6707188;129.0334565;121.2727744
1/06/2010 00:00;114.8888235;128.5888615;111.492596
1/07/2010 00:00;116.0545075;136.6001162;119.7283568
1/08/2010 00:00;116.843422;144.8531054;121.7927544
1/09/2010 00:00;114.619211;139.7444366;129.5030015
1/10/2010 00:00;120.0406877;148.5147775;137.3872447
1/11/2010 00:00;118.8255029;142.8749691;131.3307482
1/12/2010 00:00;122.5842742;102.3696605;134.729243
1/01/2011 00:00;124.6049404;67.79689502;121.2113249
1/02/2011 00:00;116.0166437;98.0812343;110.8760993
1/03/2011 00:00;128.5796066;110.9087747;132.3950519
1/04/2011 00:00;123.1076209;108.3539398;108.7014796
1/05/2011 00:00;127.2075479;132.5430098;126.4212668
1/06/2011 00:00;123.6877019;123.8406941;124.2948802
1/07/2011 00:00;125.017057;132.4046831;121.5093121
1/08/2011 00:00;126.6603867;155.6634285;128.1040614
1/09/2011 00:00;123.8582341;163.5831363;128.9277045
1/10/2011 00:00;128.395095;141.4559021;137.1500698
1/11/2011 00:00;126.6555197;126.9590197;140.2614957
1/12/2011 00:00;131.7068799;113.6731452;133.9940762
1/01/2012 00:00;131.5436032;70.57817474;127.2096732
1/02/2012 00:00;124.2147566;100.4420012;121.3461386
1/03/2012 00:00;135.6633451;133.4384154;119.1665375
1/04/2012 00:00;129.1698017;97.39625375;111.6340871
1/05/2012 00:00;133.7028385;103.2208405;124.6878591
1/06/2012 00:00;129.2186994;117.4542015;115.3769796
1/07/2012 00:00;131.8082715;152.522509;123.9565167
1/08/2012 00:00;133.3276382;121.5604199;125.3154588
1/09/2012 00:00;128.6285441;152.482563;128.476288
1/10/2012 00:00;133.1083453;242.1904331;139.4264784
1/11/2012 00:00;133.6242975;123.578481;139.1941549
1/12/2012 00:00;137.572828;90.47073731;129.545202
1/01/2013 00:00;139.3740532;69.29699745;132.8797722
1/02/2013 00:00;128.9018321;89.09418935;118.8629614
1/03/2013 00:00;140.9630787;86.88508149;113.5270471
1/04/2013 00:00;136.8765826;97.6729465;115.0268635
1/05/2013 00:00;141.0536119;115.0825119;120.3403233
1/06/2013 00:00;136.913898;142.5861405;115.8096382
1/07/2013 00:00;140.4432436;152.2362279;129.3576623
1/08/2013 00:00;139.9470939;141.6843025;114.020421
1/09/2013 00:00;136.2379075;159.1286269;124.9166702
1/10/2013 00:00;142.4029276;160.8983021;143.687332
1/11/2013 00:00;139.8892063;138.3929344;142.237568
1/12/2013 00:00;144.6472442;105.8768259;128.2671718
1/01/2014 00:00;146.3287964;89.3539907;125.6233
1/02/2014 00:00;136.7990086;92.57954942;118.2117782
1/03/2014 00:00;149.5987003;111.2773933;121.8592073
1/04/2014 00:00;143.5390399;113.6132767;114.350215
1/05/2014 00:00;148.0767577;119.3825205;124.7725342
1/06/2014 00:00;143.4528971;140.2196978;126.1841631
1/07/2014 00:00;146.479454;134.0602665;122.2839629
1/08/2014 00:00;145.8502488;128.9722635;120.0807783
1/09/2014 00:00;142.916168;144.4003922;134.0583248
1/10/2014 00:00;149.0936307;136.5498741;135.1866996
1/11/2014 00:00;146.2170968;119.3878819;130.2721539
1/12/2014 00:00;150.8681149;89.46380933;132.5849772
1/01/2015 00:00;153.0225314;69.00780386;117.3327874
1/02/2015 00:00;141.7521598;96.6682438;114.9428156
1/03/2015 00:00;157.3924774;105.6399046;125.198168
1/04/2015 00:00;150.8793726;107.837357;115.4053301
1/05/2015 00:00;155.4208462;130.688172;121.0716657
1/06/2015 00:00;150.9148504;133.373866;122.6996866
1/07/2015 00:00;154.0271426;140.3340979;122.7499899
1/08/2015 00:00;155.2164442;138.1954245;128.9262581
1/09/2015 00:00;152.3076589;140.1922527;134.7786281
1/10/2015 00:00;159.5658808;119.3537991;135.0410583
1/11/2015 00:00;156.7758723;111.2116822;130.2345205
1/12/2015 00:00;165.7827011;74.91852749;130.5429889
1/01/2016 00:00;166.0496859;78.30078841;116.1657757
1/02/2016 00:00;161.8961119;73.53463829;118.97398
1/03/2016 00:00;170.6566338;105.0783106;129.8093885
1/04/2016 00:00;164.6361207;118.2779857;124.5768406
1/05/2016 00:00;166.2565974;137.4653311;113.4235552
1/06/2016 00:00;159.4095707;134.7539591;118.7678744
1/07/2016 00:00;164.1187988;140.9999691;122.5344759
1/08/2016 00:00;165.7949144;155.0177834;127.8050336
1/09/2016 00:00;162.3220708;155.0029863;139.3931102
1/10/2016 00:00;168.4495779;147.3024673;126.3003248
1/11/2016 00:00;165.6300603;125.5401083;138.1627489
1/12/2016 00:00;173.5677644;97.65728228;112.2437482
1/01/2017 00:00;175.6764096;89.08940609;119.0897654
1/02/2017 00:00;158.7484179;87.55161264;121.356676
1/03/2017 00:00;169.6384865;99.64349132;133.5566716
1/04/2017 00:00;163.0825325;113.9091188;109.4357947
1/05/2017 00:00;170.7734058;136.6715336;122.2635155
1/06/2017 00:00;164.3237534;138.6684818;121.8495481
1/07/2017 00:00;166.4147656;156.1411131;116.7004208
1/08/2017 00:00;168.8988125;160.2564235;131.5588398
1/09/2017 00:00;165.1507016;142.5999885;133.6414722
1/10/2017 00:00;170.1788625;134.8855233;135.9796353
1/11/2017 00:00;166.0549975;119.5553069;129.3132548
1/12/2017 00:00;172.4808032;102.1029049;113.1056785
1/01/2018 00:00;175.9355727;84.95990401;135.7977406
1/02/2018 00:00;162.1532626;82.4746379;122.3301266
1/03/2018 00:00;177.6180589;119.8628318;116.727266
1/04/2018 00:00;173.6926171;119.6212199;119.877307
1/05/2018 00:00;178.2745239;142.8288323;111.7210202
1/06/2018 00:00;171.2331846;144.1282427;125.823886
1/07/2018 00:00;174.014257;158.3572949;115.6907167
1/08/2018 00:00;174.5148101;171.3641779;124.5886324
1/09/2018 00:00;171.5109893;152.6251281;129.2835245
1/10/2018 00:00;178.8394581;132.2574357;132.6101916
1/11/2018 00:00;176.7930028;126.0678868;128.5229534
1/12/2018 00:00;185.2009167;104.4367757;123.1290837
1/01/2019 00:00;185.3353281;110.4772854;137.3798487
1/02/2019 00:00;171.3128124;71.6113152;123.4250076
1/03/2019 00:00;189.5952393;118.8913501;133.435492
1/04/2019 00:00;180.2491335;115.62518;114.1809901
1/05/2019 00:00;185.8226304;149.9044297;126.1800234
1/06/2019 00:00;177.1484971;149.3504606;123.585075
1/07/2019 00:00;181.2002767;159.2752554;120.0684847
1/08/2019 00:00;181.5078519;148.5531234;126.1786435
1/09/2019 00:00;176.3285997;155.8595443;119.9597242
1/10/2019 00:00;183.8015793;152.6119128;123.7121505
1/11/2019 00:00;181.1383672;119.7388488;120.382849
1/12/2019 00:00;188.9053849;92.57214819;126.2626914
1/01/2020 00:00;188.3511893;92.58010029;140.8473902
1/02/2020 00:00;180.1280215;118.7020159;132.9920451
1/03/2020 00:00;167.3016907;47.32706575;68.92695205
1/04/2020 00:00;134.2569582;43.49304041;1.63943635
1/05/2020 00:00;145.4285491;55.13529268;25.11289329
1/06/2020 00:00;158.30426;134.9247657;100.0966902
1/07/2020 00:00;172.0795993;160.909483;115.3417296
1/08/2020 00:00;176.7782778;168.7366685;80.31243545
1/09/2020 00:00;173.2284254;201.1366533;82.47623051
1/10/2020 00:00;183.7093316;149.5716413;107.9768733
1/11/2020 00:00;180.4349384;108.181599;117.3208701
1/12/2020 00:00;188.3362331;97.29567439;137.2406051
1/01/2021 00:00;188.1787436;108.5863107;109.0720052
1/02/2021 00:00;171.7906041;128.7505755;106.6199383
1/03/2021 00:00;190.7500403;130.5659944;87.67490839
1/04/2021 00:00;179.858752;108.430023;87.68582207
1/05/2021 00:00;186.8257769;138.384895;109.608532
1/06/2021 00:00;182.1758767;150.8748532;107.9835218
1/07/2021 00:00;183.9481508;166.0817903;123.0821674
1/08/2021 00:00;187.369664;162.624737;126.1402574
1/09/2021 00:00;183.4945788;149.6923191;131.657063
1/10/2021 00:00;189.8332511;145.0840111;139.6777441
1/11/2021 00:00;186.0769951;128.6265817;146.5972719
1/12/2021 00:00;193.0919296;114.7041926;144.7689159
1/01/2022 00:00;194.3469969;100.3629492;129.5235001
1/02/2022 00:00;179.1028673;100.6099334;118.5223792
1/03/2022 00:00;196.0394352;128.4199961;141.4363529
1/04/2022 00:00;184.8265279;115.4552571;129.6764172
1/05/2022 00:00;190.5946898;131.5793037;142.6491519
1/06/2022 00:00;187.7906719;174.5207857;143.8337259
1/07/2022 00:00;192.9938271;155.4242077;127.003944
1/08/2022 00:00;193.751744;156.1925508;136.974537
1/09/2022 00:00;191.941192;174.1821069;135.6386767
1/10/2022 00:00;197.8457169;177.8994251;132.9865256
1/11/2022 00:00;196.6029311;162.536364;140.8595583
1/12/2022 00:00;204.3780225;137.689697;133.0358253
1/01/2023 00:00;200.6526597;131.7523737;123.9528788
1/02/2023 00:00;186.3856847;91.20546127;133.5529083
1/03/2023 00:00;208.6663773;103.0077264;138.5385811
1/04/2023 00:00;198.3126312;104.2477251;107.690734
1/05/2023 00:00;201.5357709;153.2426868;128.099954
1/06/2023 00:00;196.108677;190.6616201;122.0045977
1/07/2023 00:00;197.5228487;171.7527837;123.9821074
1/08/2023 00:00;201.1793923;162.1237274;134.3363102
1/09/2023 00:00;197.5115684;294.377018;131.1648181
1/10/2023 00:00;203.0353216;146.6333727;137.8003392
1/11/2023 00:00;197.9554362;189.2112179;145.3113386
1/12/2023 00:00;206.6073675;79.1951707;134.0094014
1/01/2024 00:00;208.6767241;93.4783441;135.6852167
1/02/2024 00:00;201.2868879;101.6287732;136.7309234
1/03/2024 00:00;208.8800089;76.33934105;140.8668341
1/04/2024 00:00;203.3933128;108.3830904;118.653218
1/05/2024 00:00;204.6930208;127.2732737;122.1836072
1/06/2024 00:00;195.9464797;127.5530862;101.2201726
1/07/2024 00:00;203.1455796;262.5243373;122.8467077
1/08/2024 00:00;205.2156658;185.2447176;132.6518392
1/09/2024 00:00;199.7106741;150.8513187;136.8664037
1/10/2024 00:00;206.7876605;158.7740712;135.9648329
1/11/2024 00:00;204.1779949;146.727418;134.9792141
1/12/2024 00:00;210.3697679;114.1518706;137.1377405
1/01/2025 00:00;211.0095501;78.84526735;137.8107511
1/02/2025 00:00;198.3199675;103.9973866;119.1674156
1/03/2025 00:00;217.6683241;130.6449263;98.40293629
1/04/2025 00:00;207.3195376;208.46302;121.3319634
1/05/2025 00:00;208.212093;137.7571317;126.1041294
1/06/2025 00:00;201.8821688;124.0847157;119.1374344
1/07/2025 00:00;207.4595827;370.978053;118.8701118
1/08/2025 00:00;207.3510879;397.7860092;128.4436724
1/09/2025 00:00;205.1627101;133.6063204;128.0509052
1/10/2025 00:00;214.3795517;146.4104903;129.672152
1/11/2025 00:00;206.3457324;132.3946667;127.1293886
1/12/2025 00:00;215.96611;86.42076169;147.2254988
1/01/2026 00:00;220.1860181;79.61148338;139.9416797
1/02/2026 00:00;204.9099743;113.9356858;132.1890738
1/03/2026 00:00;220.5581059;121.4636966;128.7294354
1/04/2026 00:00;217.0231692;127.2063462;113.5497526
